"","City","Country.name","Country.code","Regional.indicator","Rank","total_area","total_pop","per_pop","GUA_capita","GUA_capita_buf","pop_count_buffer","Evaluation","Ladder.score","Standard.error.of.ladder.score","Logged.GDP.per.capita"
"1","Århus","Denmark","DK","Western Europe",2,843904056.385246,662467,19.461346753876,1273.88089729035,6545.6975480725,128925,7.625,7.645599842,0.033492286,10.77400112
"2","Athina","Greece","EL","Western Europe",121,1627644666.81128,3584993,30.7088744664216,454.016135264777,1478.45254231385,1100911,5.345,5.514999866,0.046931833,10.13232613
"3","Barcelona","Spain","ES","Western Europe",55,1278207239.06219,4650621,19.6904241390558,274.846571901298,1395.83875878093,915727,6.38,6.400899887,0.04230037,10.46292686
"4","Bergen","Norway","NO","Western Europe",6,2308112263.64031,415439,65.1236402937615,5555.83915722961,8531.21713124171,270549,7.527,7.487999916,0.034837384,11.08780384
"5","Bratislava","Slovakia","SK","Central and Eastern Europe",54,865127082.546222,615555,24.8583798360829,1405.4423772794,5653.79717643283,153017,6.383,6.280600071,0.03889757,10.34774971
"6","Bruxelles / Brussel","Belgium","BE","Western Europe",40,388483233.643951,2495224,14.2692599942931,155.690725018656,1091.09179509606,356050,6.674,6.863500118,0.034370355,10.6736393
"7","Bucureşti","Romania","RO","Central and Eastern Europe",81,133005391.279768,1804623,7.92586595649064,73.7025912225255,929.899541919064,143032,5.974,6.123700142,0.047432564,10.107584
"8","Budapest","Hungary","HU","Central and Eastern Europe",103,1551290293.75995,2641270,12.7289523600389,587.327419673094,4614.10651136491,336206,5.642,6.000400066,0.039473221,10.24924374
"9","Cork","Ireland","IE","Western Europe",32,308422543.392132,345320,10.4940345187073,893.149957697592,8511.02553651229,36238,6.946,7.093699932,0.039863452,11.16097832
"10","Dublin","Ireland","IE","Western Europe",22,1275431324.86469,1824498,38.704235356794,699.058768419967,1806.15573974195,706158,7.096,7.093699932,0.039863452,11.16097832
"11","Göteborg","Sweden","SE","Western Europe",24,2635311176.50579,1036453,86.726846272817,2542.62487204513,2931.76217205776,898883,7.08,7.353499889,0.036234196,10.75879383
"12","Grad Zagreb","Croatia","HR","Central and Eastern Europe",110,2269050629.997,1091669,27.8630244149096,2078.51521843801,7459.76168088121,304172,5.536,5.504700184,0.037783645,10.07087517
"13","Helsinki","Finland","FI","Western Europe",1,4946113552.72737,1482949,99.1042847731109,3335.32276074724,3365.46776800128,1469666,7.828,7.808700085,0.031156305,10.63926697
"14","Kaunas","Lithuania","LT","Central and Eastern Europe",66,549728684.783889,363881,35.9078929650078,1510.73753447937,4207.25754070724,130662,6.225,6.215499878,0.044193108,10.34362602
"15","København","Denmark","DK","Western Europe",5,564420317.532972,1647280,23.0765261522024,342.637752861063,1484.78913421014,380135,7.53,7.645599842,0.033492286,10.77400112
"16","Lefkosia","Cyprus","CY","Western Europe",92,701969661.407872,255504,7.99282985784958,2747.39206199461,34373.2083737083,20422,5.788,6.15899992,0.050605938,10.40570259
"17","Lisboa","Portugal","PT","Western Europe",101,1608224335.46695,2905898,30.8773398102755,553.434544318813,1792.3647170364,897264,5.66,5.910900116,0.053158198,10.26374245
"18","Ljubljana","Slovenia","SI","Central and Eastern Europe",69,1436731880.19179,535325,35.3540372670807,2683.84977386034,7591.35301460847,189259,6.178,6.363399982,0.043841314,10.39232254
"19","London","United Kingdom","UK","Western Europe",36,937736501.689264,11782002,16.4390907419639,79.5905909444986,484.154459597504,1936854,6.782,7.164500237,0.037161909,10.60013485
"20","Madrid","Spain","ES","Western Europe",48,2995725659.97304,6761819,51.6760652717856,443.035470185322,857.332050834785,3494242,6.5,6.400899887,0.04230037,10.46292686
"21","Oslo","Norway","NO","Western Europe",7,4783074622.25474,1333913,35.0380422111487,3585.74706315535,10233.8682097209,467377,7.464,7.487999916,0.034837384,11.08780384
"22","Paris","France","FR","Western Europe",43,2797507485.61579,11493011,22.2005878181096,243.409449935773,1096.40993261096,2551516,6.635,6.663799763,0.037576791,10.58422279
"23","Praha","Czech Republic","CZ","Central and Eastern Europe",44,1581846194.63059,2145499,56.4842025095327,737.285915598464,1305.29578686011,1211868,6.62,6.910900116,0.042891297,10.40416336
"24","Reykjavík","Iceland","IS","Western Europe",12,2371311371.07775,255362,42.8979252982041,9286.07769001553,21646.9156152973,109545,7.317,7.504499912,0.059615862,10.77255917
"25","Rīga","Latvia","LV","Central and Eastern Europe",70,3681728501.47811,917392,37.5352085041073,4013.25551288665,10691.9760748032,344345,6.175,5.949999809,0.034838136,10.17531967
"26","Sarajevo","Bosnia and Herzegovina","BA","Central and Eastern Europe",91,1877871827.29119,536684,49.0180441377049,3499.02703879971,7138.24286617803,263072,5.795,5.674099922,0.046385963,9.455817223
"27","Skopje","Macedonia","MK","Central and Eastern Europe",124,978528171.902924,611126,10.4660904625233,1601.18890687505,15298.825407716,63961,5.302,5.159800053,0.046761535,9.510591507
"28","Sofia","Bulgaria","BG","Central and Eastern Europe",109,2466469800.35615,1387165,25.8241088839468,1778.06519077121,6885.29156518747,358223,5.563,5.101500034,0.04422117,9.869318962
"29","Stockholm","Sweden","SE","Western Europe",9,4113714341.77344,2341099,82.7780029806514,1757.17231171063,2122.75272226772,1937915,7.373,7.353499889,0.036234196,10.75879383
"30","Tallinn","Estonia","EE","Central and Eastern Europe",99,2518903580.79643,570662,41.8766274957856,4414.00265095001,10540.4921907673,238974,5.679,6.021800041,0.035985194,10.34001732
"31","Thessaloniki","Greece","EL","Western Europe",94,582215559.960028,954718,20.8747504498711,609.829876424272,2921.37564896273,199295,5.778,5.514999866,0.046931833,10.13232613
"32","Vilnius","Lithuania","LT","Central and Eastern Europe",72,1960214768.88338,680528,59.8557296687278,2880.43220687963,4812.29152634412,407335,6.163,6.215499878,0.044193108,10.34362602
"33","Zürich","Switzerland","CH","Western Europe",4,378786868.925217,1355636,22.0220619694372,279.416354334952,1268.80196197219,298539,7.541,7.559899807,0.035014171,10.97993279
